id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,duplicate_id,class
B011480E,1980-01-14T21:51:01,-69.46,-33.19,14.0,5.6,mwc,141.0,69.0,5.0,49.0,85.0,159.0,18.0,3.0,69.0,217.0,11.0,97.0,,,,,,,us,21_us,crustal_intraarc_shallow
652719,1980-01-14T21:51:03,-69.469,-33.205,15.0,5.58,mw,49.0,85.0,159.0,141.0,69.0,5.0,11.363984226429048,183.0530606563168,68.72251754751194,61.98274805175004,17.741919101546838,276.739916317901,-0.13,2.73,-2.6,1.08,0.38,-0.45,gem,21_gem,crustal_intraarc_shallow
B011480E,1980-01-14T21:51:08,-69.42,-33.27,15.0,5.2,mw,141.0,69.0,5.0,49.0,85.0,159.0,18.0,3.0,69.0,217.0,11.0,97.0,-1.31e+16,2.734e+17,-2.6030000000000003e+17,1.078e+17,3.83e+16,-4.49e+16,gcmt,21_gcmt,crustal_intraarc_shallow
569311,1983-08-01T14:09:23,-75.89,-48.263,20.0,5.7,mw,157.0,76.0,86.0,355.0,14.0,107.0,44.753150951329765,241.5338545094536,4.393427854993478,335.90237629387326,44.91061851857281,70.29502405303123,1.86,0.13,-1.98,1.55,-3.52,0.63,gem,391_gem,crustal_intraarc_shallow
B080183A,1983-08-01T14:09:24,-76.46,-48.33,11.0,5.5,mw,355.0,14.0,107.0,157.0,76.0,86.0,58.0,61.0,4.0,158.0,31.0,251.0,1.858e+17,1.26e+16,-1.984e+17,1.552e+17,-3.524e+17,6.3e+16,gcmt,391_gcmt,crustal_intraarc_shallow
B012685A,1985-01-26T03:07:05,-68.75,-33.11,28.4,5.8,mw,158.0,38.0,65.0,9.0,56.0,108.0,72.0,325.0,15.0,179.0,9.0,86.0,8.699999999999999e+17,1.161e+17,-9.861e+17,2.094e+17,3.349e+17,1.172e+17,gcmt,51_gcmt,crustal_intraarc_shallow
B091387C,1987-09-13T20:08:51,-69.97,-34.19,10.0,5.9,mwc,27.0,58.0,176.0,119.0,87.0,32.0,24.0,348.0,58.0,124.0,20.0,249.0,,,,,,,us,98_us,crustal_intraarc_shallow
457546,1987-09-13T20:08:52,-70.12,-34.367,10.0,5.87,mw,27.0,58.0,176.0,119.0,87.0,32.0,20.11053342503588,347.88670299887224,57.95697627286813,113.68933754541617,23.832578297275585,248.5786210829178,-0.02,5.53,-5.5,4.01,-1.24,3.47,gem,98_gem,crustal_intraarc_shallow
B091387C,1987-09-13T20:08:53,-70.0,-34.59,15.0,5.6,mw,27.0,58.0,176.0,119.0,87.0,32.0,24.0,348.0,58.0,124.0,20.0,249.0,-2200000000000000.0,5.529e+17,-5.507e+17,4.011e+17,-1.2410000000000002e+17,3.47e+17,gcmt,98_gcmt,crustal_intraarc_shallow
B022489C,1989-02-24T12:36:48,-71.83,-39.26,15.0,5.3,mw,110.0,62.0,23.0,9.0,70.0,150.0,35.0,327.0,54.0,159.0,5.0,61.0,2.3650000000000004e+16,2.289e+16,-4.654e+16,4.16e+16,3.467e+16,6.386999999999999e+16,gcmt,104_gcmt,crustal_intraarc_shallow
413725,1989-02-24T12:36:57,-71.279,-38.448,15.0,5.25,mw,9.0,70.0,150.0,110.0,62.0,23.0,6.299321556710266,147.4077992182102,59.24840688560807,46.71544103765342,29.960686994464048,241.05612021173607,2.37,2.29,-4.65,4.16,3.47,6.39,gem,104_gem,crustal_intraarc_shallow
1310878,1998-10-09T10:24:29,-75.6,-47.635,15.0,5.13,mw,19.0,46.0,138.0,142.0,61.0,52.0,15.193498295144574,0.0939770380215918,45.97073608987066,106.4099270916226,40.06974461712022,256.888732209301,4.17,2.21,-6.38,2.34,-1.07,1.68,gem,727_gem,crustal_intraarc_shallow
B030599B,1999-03-05T03:35:14,-69.6,-34.67,10.0,5.9,mwc,170.0,12.0,69.0,12.0,79.0,94.0,56.0,287.0,4.0,191.0,34.0,98.0,,,,,,,us,179_us,crustal_intraarc_shallow
1538377,1999-03-05T03:35:17,-69.66,-34.693,15.0,5.93,mw,12.0,79.0,94.0,170.0,12.0,69.0,44.78552713156727,107.037952297395,4.233608737388566,12.824459580933706,44.90221648464105,278.59373782380754,3.86,-0.27,-3.58,2.02,8.64,0.04,gem,179_gem,crustal_intraarc_shallow
B030599B,1999-03-05T03:35:19,-70.25,-34.75,15.0,5.5,mw,170.0,12.0,69.0,12.0,79.0,94.0,56.0,287.0,4.0,191.0,34.0,98.0,3.858e+17,-2.7300000000000004e+16,-3.585e+17,2.023e+17,8.644e+17,4500000000000000.0,gcmt,179_gcmt,crustal_intraarc_shallow
1546940,1999-03-27T11:13:33,-71.768,-40.087,15.0,5.45,mw,174.0,72.0,174.0,266.0,85.0,18.0,8.800070739945326,131.26774794862808,71.37638041321999,248.6148822168779,16.279312126898695,38.67659257577719,-0.13,-0.2,0.32,-0.58,-0.32,1.7,gem,180_gem,crustal_intraarc_shallow
B032799B,1999-03-27T11:13:35,-71.85,-40.32,15.0,5.1,mw,174.0,72.0,174.0,266.0,85.0,18.0,17.0,132.0,71.0,282.0,9.0,39.0,-1.28e+16,-2e+16,3.27e+16,-5.779999999999999e+16,-3.24e+16,1.7e+17,gcmt,180_gcmt,crustal_intraarc_shallow
1676426,1999-05-10T08:47:22,-69.224,-30.277,25.0,5.16,mw,20.0,78.0,142.0,119.0,53.0,15.0,18.785729230006,152.82786810489665,52.76466561090362,36.24078574246937,30.815826880176385,254.5343093779593,2.06,3.32,-5.38,1.62,3.3,3.4,gem,741_gem,crustal_intraarc_shallow
B101201B,2001-10-12T04:21:31,-69.74,-33.3,3.8,5.3,mwc,222.0,78.0,171.0,314.0,81.0,12.0,15.0,178.0,75.0,349.0,2.0,87.0,,,,,,,us,194_us,crustal_intraarc_shallow
2170887,2001-10-12T04:21:34,-69.745,-33.332,10.0,5.29,mw,222.0,78.0,171.0,314.0,81.0,12.0,2.2989957253931435,178.2464539316892,75.48145863157688,277.16489598974124,14.327440352136636,87.65894892162169,-0.07,1.04,-0.97,-0.31,0.02,0.08,gem,194_gem,crustal_intraarc_shallow
B101201B,2001-10-12T04:21:37,-69.04,-33.16,15.0,5.6,mw,222.0,78.0,171.0,314.0,81.0,12.0,15.0,178.0,75.0,349.0,2.0,87.0,-7099999999999999.0,1.041e+17,-9.7e+16,-3.09e+16,2000000000000000.0,7700000000000000.0,gcmt,194_gcmt,crustal_intraarc_shallow
6129198,2002-11-09T06:05:57,-75.691,-48.121,20.0,5.62,mw,1.0,10.0,89.0,182.0,80.0,90.0,44.99960015031875,92.23277818198738,0.1847797416393719,2.0480000584659592,44.99980393433043,271.86322062053387,1.32,-0.4,-0.92,-0.11,-3.08,-0.01,gem,835_gem,crustal_intraarc_shallow
7393947,2004-08-28T13:41:25,-70.525,-35.173,5.0,6.5,mw,27.0,88.0,177.0,117.0,87.0,2.0,3.0,342.0,87.0,177.0,1.0,72.0,1000000000.0,548000000000.0,-549000000000.0,34000000000.0,21000000000.0,391000000000.0,neic,223_neic,crustal_intraarc_shallow
pde20040828134125600_5,2004-08-28T13:41:25,-70.525,-35.173,20.0,6.5,mwb,0.0,45.0,90.0,180.0,45.0,90.0,3.637108743639312e-15,180.0,45.000000000000014,90.0,44.99999999999999,270.0,,,,,,,us,223_us,crustal_intraarc_shallow
7393947,2004-08-28T13:41:31,-70.443,-34.936,20.0,6.51,mw,21.0,61.0,-178.0,290.0,88.0,-29.0,21.04617163478667,339.26439792359287,60.982311327091146,113.18591934751952,19.031649351288284,241.63694875953385,-0.2,4.19,-3.99,3.18,-1.36,4.78,gem,223_gem,crustal_intraarc_shallow
C082804C,2004-08-28T13:41:35,-70.36,-35.21,16.0,6.3,mw,21.0,61.0,-178.0,290.0,88.0,-29.0,19.0,339.0,61.0,107.0,21.0,241.0,-2e+17,4.190000000000001e+18,-3.99e+18,3.18e+18,-1.36e+18,4.78e+18,gcmt,223_gcmt,crustal_intraarc_shallow
C091204C,2004-09-12T14:24:37,-70.01,-34.14,5.0,5.3,mwc,162.0,44.0,114.0,310.0,50.0,68.0,73.0,156.0,17.0,324.0,3.0,55.0,,,,,,,us,278_us,crustal_intraarc_shallow
7400830,2004-09-12T14:24:38,-70.062,-34.141,15.0,5.32,mw,162.0,44.0,114.0,310.0,50.0,68.0,11.72007810726841,156.73115445611143,43.83103807550379,258.218911626528,43.80415345489908,55.25432876527066,1.09,-0.31,-0.78,-0.34,-0.08,0.59,gem,278_gem,crustal_intraarc_shallow
200608051403A,2006-08-05T14:03:00,-68.86,-33.2,32.0,5.6,mw,137.0,39.0,44.0,10.0,64.0,120.0,59.0,324.0,,,14.0,79.0,,,,,,,gmt,990_gmt,crustal_intraarc_shallow
8568187,2006-08-05T14:03:43,-68.835,-33.116,20.0,5.56,mw,10.0,64.0,120.0,137.0,39.0,44.0,25.25432695849744,143.923336509676,37.93864023488121,32.34718698152608,41.55283034620135,258.63936758718006,1.74,0.73,-2.47,0.5,1.34,0.9,gem,990_gem,crustal_intraarc_shallow
C200608051403A,2006-08-05T14:03:50,-68.86,-33.2,32.0,5.6,mw,137.0,39.0,44.0,10.0,64.0,120.0,59.0,323.0,27.0,176.0,14.0,78.0,1.74e+17,7.33e+16,-2.4700000000000003e+17,5.01e+16,1.34e+17,9.02e+16,gcmt,990_gcmt,crustal_intraarc_shallow
C200608051403A,2006-08-05T14:03:50,-68.86,-33.2,32.0,5.6,mw,137.0,39.0,44.0,10.0,64.0,120.0,59.0,323.0,27.0,176.0,14.0,78.0,1.74e+17,7.33e+16,-2.4700000000000003e+17,5.01e+16,1.34e+17,9.02e+16,gcmt,990_gcmtb,crustal_intraarc_shallow
200612311455A,2006-12-31T14:55:00,-71.4,-38.04,18.0,5.5,mw,31.0,86.0,178.0,121.0,88.0,4.0,4.0,346.0,,,1.0,256.0,,,,,,,gmt,1021_gmt,crustal_intraarc_shallow
C200612311455A,2006-12-31T14:55:02,-71.11,-37.94,20.6,5.5,mwc,31.0,86.0,178.0,121.0,88.0,4.0,4.0,346.0,86.0,153.0,1.0,256.0,,,,,,,us,1021_us,crustal_intraarc_shallow
9140430,2006-12-31T14:55:02,-71.4,-38.005,17.7,5.54,mw,31.0,86.0,178.0,121.0,88.0,4.0,1.4192436434060434,346.1224108024689,85.53724190878648,94.63064515457144,4.230202912055816,256.01741432592604,0.16,2.15,-2.32,0.17,-0.01,1.16,gem,1021_gem,crustal_intraarc_shallow
9140430,2006-12-31T14:55:02,-71.114,-37.94,20.6,5.6,mw,12.0,78.0,-175.0,281.0,86.0,-12.0,5.0,327.0,77.0,81.0,11.0,236.0,-1600000000.0,14500000000.0,-13000000000.0,6400000000.0,-3900000000.0,31700000000.0,neic,1021_neic,crustal_intraarc_shallow
C200612311455A,2006-12-31T14:55:06,-71.4,-38.04,17.7,5.6,mw,31.0,86.0,178.0,121.0,88.0,4.0,4.0,346.0,86.0,153.0,1.0,256.0,1.64e+16,2.15e+17,-2.32e+17,1.7100000000000002e+16,-600000000000000.0,1.16e+17,gcmt,1021_gcmt,crustal_intraarc_shallow
C200612311455A,2006-12-31T14:55:06,-71.4,-38.04,17.7,5.6,mw,31.0,86.0,178.0,121.0,88.0,4.0,4.0,346.0,86.0,153.0,1.0,256.0,1.64e+16,2.15e+17,-2.32e+17,1.7100000000000002e+16,-600000000000000.0,1.16e+17,gcmt,1021_gcmtb,crustal_intraarc_shallow
200701232040A,2007-01-23T20:40:00,-73.07,-45.46,13.0,5.3,mw,264.0,89.0,-1.0,354.0,89.0,-179.0,0.0,129.0,,,1.0,219.0,,,,,,,gmt,1023_gmt,crustal_intraarc_shallow
10394010,2007-01-23T20:40:14,-72.512,-45.325,15.0,5.35,mw,264.0,89.0,-1.0,354.0,89.0,-179.0,1.4137470922833049,129.00872576023357,88.58625290361107,309.01309329292894,0.0001077231311515,219.008728418792,-0.13,-0.19,0.32,0.03,-0.02,1.26,gem,1023_gem,crustal_intraarc_shallow
C200701232040A,2007-01-23T20:40:16,-73.07,-45.46,12.8,5.2,mw,264.0,89.0,-1.0,354.0,89.0,-179.0,0.0,129.0,88.0,37.0,2.0,219.0,-1.34e+16,-1.89e+16,3.22e+16,2600000000000000.0,-2400000000000000.0,1.26e+17,gcmt,1023_gcmt,crustal_intraarc_shallow
C200701232040A,2007-01-23T20:40:16,-72.19,-45.31,32.0,5.3,mwc,264.0,89.0,-1.0,354.0,89.0,-179.0,0.0,129.0,88.0,37.0,2.0,219.0,,,,,,,us,1023_us,crustal_intraarc_shallow
C200701232040A,2007-01-23T20:40:16,-73.07,-45.46,12.8,5.2,mw,264.0,89.0,-1.0,354.0,89.0,-179.0,0.0,129.0,88.0,37.0,2.0,219.0,-1.34e+16,-1.89e+16,3.22e+16,2600000000000000.0,-2400000000000000.0,1.26e+17,gcmt,1023_gcmtb,crustal_intraarc_shallow
10396979,2007-01-28T02:53:16,-72.413,-45.261,15.0,5.19,mw,14.0,89.0,166.0,104.0,76.0,1.0,9.170449963144046,148.26181522296332,75.97321501924824,18.00647900410172,10.5218225811512,239.98002317478813,-1.27,4.0,-2.73,1.05,1.67,6.67,gem,1024_gem,crustal_intraarc_shallow
200702030900A,2007-02-03T09:00:00,-73.03,-45.51,12.0,5.3,mw,91.0,84.0,-6.0,182.0,84.0,-174.0,0.0,316.0,,,8.0,46.0,,,,,,,gmt,1025_gmt,crustal_intraarc_shallow
C200702030900A,2007-02-03T09:00:15,-72.24,-45.24,10.0,5.3,mwc,91.0,84.0,-6.0,182.0,84.0,-174.0,0.0,316.0,82.0,225.0,8.0,47.0,,,,,,,us,1025_us,crustal_intraarc_shallow
11495639,2007-02-03T09:00:16,-72.339,-45.263,15.0,5.34,mw,91.0,84.0,-6.0,182.0,84.0,-174.0,8.38617906059263,316.3130141452274,81.61378766479629,136.4755770954614,0.0234554497393869,46.31647196378515,-0.34,0.24,0.1,-0.07,0.08,1.24,gem,1025_gem,crustal_intraarc_shallow
C200702030900A,2007-02-03T09:00:19,-73.03,-45.51,12.0,5.1,mw,91.0,84.0,-6.0,182.0,84.0,-174.0,0.0,316.0,82.0,225.0,8.0,47.0,-3.4200000000000004e+16,2.36e+16,1.06e+16,-7199999999999999.0,8300000000000000.0,1.24e+17,gcmt,1025_gcmt,crustal_intraarc_shallow
C200702030900A,2007-02-03T09:00:19,-73.03,-45.51,12.0,5.1,mw,91.0,84.0,-6.0,182.0,84.0,-174.0,0.0,316.0,82.0,225.0,8.0,47.0,-3.4200000000000004e+16,2.36e+16,1.06e+16,-7199999999999999.0,8300000000000000.0,1.24e+17,gcmt,1025_gcmtb,crustal_intraarc_shallow
200702231955A,2007-02-23T19:55:00,-73.08,-45.51,17.0,5.7,mw,87.0,70.0,-12.0,181.0,79.0,-160.0,6.0,313.0,,,22.0,45.0,,,,,,,gmt,1031_gmt,crustal_intraarc_shallow
11508669,2007-02-23T19:55:48,-72.316,-45.248,25.0,5.68,mw,87.0,70.0,-12.0,181.0,79.0,-160.0,20.90955668968287,312.9406097496807,68.04503224773339,151.54197568662198,6.396391718012551,45.39533079642297,-0.45,0.15,0.29,-0.79,1.35,3.79,gem,1031_gem,crustal_intraarc_shallow
C200702231955A,2007-02-23T19:55:48,-72.32,-45.34,25.1,5.7,mwc,87.0,70.0,-12.0,181.0,79.0,-160.0,6.0,313.0,67.0,210.0,22.0,46.0,,,,,,,us,1031_us,crustal_intraarc_shallow
C200702231955A,2007-02-23T19:55:50,-73.08,-45.51,16.6,5.5,mw,87.0,70.0,-12.0,181.0,79.0,-160.0,6.0,313.0,67.0,210.0,22.0,46.0,-4.5e+16,1.53e+16,2.97e+16,-7.93e+16,1.3500000000000002e+17,3.79e+17,gcmt,1031_gcmt,crustal_intraarc_shallow
C200702231955A,2007-02-23T19:55:50,-73.08,-45.51,16.6,5.5,mw,87.0,70.0,-12.0,181.0,79.0,-160.0,6.0,313.0,67.0,210.0,22.0,46.0,-4.5e+16,1.53e+16,2.97e+16,-7.93e+16,1.3500000000000002e+17,3.79e+17,gcmt,1031_gcmtb,crustal_intraarc_shallow
200704020249A,2007-04-02T02:49:00,-73.04,-45.41,30.0,6.2,mw,53.0,43.0,-86.0,228.0,47.0,-94.0,2.0,320.0,,,87.0,87.0,,,,,,,gmt,1043_gmt,crustal_intraarc_shallow
C200704020249A,2007-04-02T02:49:35,-73.06,-45.38,4.9,6.1,mwc,53.0,43.0,-86.0,228.0,47.0,-94.0,2.0,321.0,3.0,231.0,86.0,93.0,,,,,,,us,1043_us,crustal_intraarc_shallow
11912922,2007-04-02T02:49:40,-72.85,-45.34,25.0,6.15,mw,53.0,43.0,-86.0,228.0,47.0,-94.0,44.967502021249246,320.17087970665494,28.87061898576015,196.75338147167923,31.14094868326993,87.29392370812013,-1.59,1.14,0.45,0.12,0.13,1.71,gem,1043_gem,crustal_intraarc_shallow
C200704020249A,2007-04-02T02:49:42,-73.04,-45.41,30.4,5.4,mw,53.0,43.0,-86.0,228.0,47.0,-94.0,2.0,321.0,3.0,231.0,86.0,93.0,-1.59e+18,1.14e+18,4.5e+17,1.15e+17,1.32e+17,1.71e+18,gcmt,1043_gcmt,crustal_intraarc_shallow
C200704020249A,2007-04-02T02:49:42,-73.04,-45.41,30.4,5.4,mw,53.0,43.0,-86.0,228.0,47.0,-94.0,2.0,321.0,3.0,231.0,86.0,93.0,-1.59e+18,1.14e+18,4.5e+17,1.15e+17,1.32e+17,1.71e+18,gcmt,1043_gcmtb,crustal_intraarc_shallow
200704211753A,2007-04-21T17:53:00,-72.95,-45.48,12.0,6.2,mw,84.0,86.0,2.0,354.0,88.0,176.0,4.0,309.0,,,1.0,39.0,,,,,,,gmt,1049_gmt,crustal_intraarc_shallow
11931187,2007-04-21T17:53:44,-72.655,-45.271,25.0,6.24,mw,84.0,86.0,2.0,354.0,88.0,176.0,1.4192436434060507,308.87758919753105,85.5372419087864,200.3693548454285,4.2302029120558124,38.98258567407396,-0.91,-0.12,1.03,0.18,0.28,2.77,gem,1049_gem,crustal_intraarc_shallow
C200704211753A,2007-04-21T17:53:48,-72.95,-45.48,12.0,6.3,mw,84.0,86.0,2.0,354.0,88.0,176.0,5.0,309.0,85.0,145.0,1.0,39.0,-9.12e+17,-1.2e+17,1.03e+18,1.85e+17,2.8000000000000003e+17,2.77e+18,gcmt,1049_gcmt,crustal_intraarc_shallow
C200704211753A,2007-04-21T17:53:48,-72.95,-45.48,12.0,6.3,mw,84.0,86.0,2.0,354.0,88.0,176.0,5.0,309.0,85.0,145.0,1.0,39.0,-9.12e+17,-1.2e+17,1.03e+18,1.85e+17,2.8000000000000003e+17,2.77e+18,gcmt,1049_gcmtb,crustal_intraarc_shallow
200805020551A,2008-05-02T05:51:00,-72.65,-42.93,17.0,5.3,mw,206.0,77.0,-177.0,115.0,87.0,-13.0,7.0,161.0,,,11.0,70.0,,,,,,,gmt,1115_gmt,crustal_intraarc_shallow
C200805020551A,2008-05-02T05:51:24,-72.27,-42.77,10.0,5.2,mwc,206.0,77.0,-177.0,115.0,87.0,-13.0,7.0,161.0,77.0,281.0,12.0,70.0,,,,,,,us,1115_us,crustal_intraarc_shallow
10925030,2008-05-02T05:51:25,-72.261,-42.743,17.4,5.25,mw,115.0,87.0,-13.0,206.0,77.0,-177.0,11.162409829651653,341.04006035500004,76.73115762816653,127.8406483961935,7.082451085596242,249.6352228040912,-0.35,0.88,-0.52,-0.18,0.01,0.56,gem,1115_gem,crustal_intraarc_shallow
200805030236A,2008-05-03T02:36:00,-72.56,-42.82,12.0,5.1,mw,280.0,52.0,-31.0,31.0,66.0,-137.0,9.0,152.0,,,46.0,251.0,,,,,,,gmt,1116_gmt,crustal_intraarc_shallow
C200805030236A,2008-05-03T02:36:12,-72.25,-42.78,10.0,5.0,mwc,280.0,52.0,-31.0,31.0,66.0,-137.0,9.0,153.0,42.0,55.0,47.0,252.0,,,,,,,us,1116_us,crustal_intraarc_shallow
10925073,2008-05-03T02:36:13,-72.416,-42.735,15.0,5.05,mw,31.0,66.0,-137.0,280.0,52.0,-31.0,36.38385866272989,332.5540141359665,50.808844572763874,177.9017489972349,12.579325239955448,72.01765067781008,-1.98,2.9,-0.91,0.99,-3.8,1.66,gem,1116_gem,crustal_intraarc_shallow
200805240243A,2008-05-24T02:43:00,-72.46,-42.17,12.0,5.5,mw,84.0,57.0,-11.0,180.0,81.0,-146.0,16.0,308.0,,,30.0,47.0,,,,,,,gmt,1118_gmt,crustal_intraarc_shallow
C200805240243A,2008-05-24T02:43:36,-72.19,-41.96,9.4,5.4,mwc,84.0,57.0,-11.0,180.0,81.0,-146.0,16.0,308.0,55.0,193.0,30.0,48.0,,,,,,,us,1118_us,crustal_intraarc_shallow
10955648,2008-05-24T02:43:37,-72.378,-42.043,15.0,5.44,mw,84.0,57.0,-11.0,180.0,81.0,-146.0,27.37466795152988,307.83786120450964,56.72654559702111,165.7404497874569,17.41534111859271,47.18512369495232,-0.7,0.04,0.65,0.3,0.83,1.57,gem,1118_gem,crustal_intraarc_shallow
C200805240243A,2008-05-24T02:43:42,-72.46,-42.17,12.0,5.3,mw,84.0,57.0,-11.0,180.0,81.0,-146.0,16.0,308.0,55.0,193.0,30.0,48.0,-6.999999999999999e+16,4500000000000000.0,6.55e+16,3.03e+16,8.34e+16,1.57e+17,gcmt,1118_gcmt,crustal_intraarc_shallow
