ID,Lat,Lon,Depth_km,Mw,Strike_1,Dip_1,Rake_1,P_trend,P_plunge,T_trend,T_plunge,Strike_2,Dip_2,Rake_2,Strike_2_c,Dip_2_cal,Rake_2_cal,Slab1,Depth2Slab
092803G,-35.54,-71.11,105,5.1,245,17,-66,300,60,136,29,39,74,-97,40,75,-97,-89.8753891,-15.125
092999E,-30.94,-72.6,15,5.7,352,31,87,264,14,91,76,175,59,92,175,59,92,-8.396038055,-6.604
093002B,-35.17,-71.07,114,5.2,222,23,-73,281,66,119,23,23,68,-97,24,68,-97,-85.11427307,-28.886
100192D,-39.04,-74.96,15,5.5,35,42,-51,27,63,278,9,167,58,-120,168,59,-120,-7.503141403,-7.497
100195A,-31.33,-71.76,90,5.4,180,18,-74,246,62,77,28,344,73,-95,343,73,-95,-27.12020874,-62.88
100395J,-30.86,-72.65,23,5.7,9,41,104,269,5,26,80,171,51,79,171,50,78,,
100998B,-47.21,-76.5,15,5.1,19,46,138,257,9,0,56,142,61,52,141,61,52,,
101098A,-33.87,-72.48,20,5.6,352,26,87,264,19,89,71,175,64,91,175,64,91,-14.48111439,-5.519
101179B,-33.41,-71.55,44,5.4,13,24,96,278,21,91,69,187,66,87,186,66,87,-37.90492249,-6.095
101190A,-34.17,-72.07,15,5.4,329,11,58,266,35,99,54,182,81,96,181,81,96,-27.75480652,12.755
101194A,-32.22,-71.91,58,5.7,284,33,37,231,21,107,56,162,71,118,162,71,117,-23.60967255,-34.39
101201B,-33.16,-69.04,15,5.3,222,78,171,88,2,178,15,314,81,12,314,81,12,-120.4439468,105.444
101597A,-31.06,-71.42,70,,315,12,-128,93,54,257,35,173,80,-83,174,81,-83,-41.28097153,-28.719
101681A,-33.48,-73.15,40,,194,34,96,100,11,262,78,6,56,86,7,56,86,,
102094A,-39.19,-70.8,170,5.9,234,15,161,85,39,237,48,343,85,76,342,85,76,-150.9101105,-19.09
102183A,-30.69,-68.61,132,5.4,323,30,-143,141,56,271,24,200,73,-65,200,72,-65,-91.5998764,-40.4
102301I,-43.39,-76.47,29,5.1,232,45,-27,209,47,101,16,342,71,-132,342,71,-132,,
102404A,-40.47,-75.32,17,4.8,2,40,-74,21,78,261,6,162,52,-103,161,52,-103,,
102485A,-31.55,-68.73,124,5.5,63,44,-105,243,79,344,2,263,48,-76,263,48,-76,-96.77059937,-27.229
102904B,-30.81,-67.56,38,4.8,6,33,87,278,12,106,78,189,57,92,190,57,92,-92.44593048,54.446
102998B,-32.56,-70.46,110,5.3,165,47,164,29,20,136,39,266,78,44,266,78,44,-81.25299072,-28.747
103093E,-31.77,-68.16,126,5.8,180,41,-125,4,66,114,9,43,58,-64,43,57,-63,-98.20426941,-27.796
103102F,-40.56,-75.39,15,5.1,244,43,-61,239,70,134,5,27,53,-114,27,53,-114,,
110103B,-35.48,-68.18,50,5.1,250,65,-164,109,28,203,7,153,75,-26,153,76,-26,-229.7782898,179.778
110301B,-36.19,-72.02,100,5.1,274,33,25,229,25,106,49,163,77,120,163,77,120,-65.33364105,-34.666
110397G,-30.99,-71.69,51,6.1,352,31,88,263,14,88,76,175,59,91,174,59,91,-28.1899147,-22.81
110399D,-37.7,-73.93,15,5.3,28,7,132,260,40,71,50,166,85,85,166,85,85,-18.36015892,3.36
110399E,-37.7,-73.64,33,5.2,96,55,179,316,23,57,25,187,89,35,187,89,35,-23.91175652,-9.088
110404C,-46,-76.9,18,5,88,61,-158,305,35,39,6,347,71,-31,347,71,-31,,
110404D,-45.94,-76.79,19,5.2,82,73,-172,305,18,37,6,349,82,-17,350,82,-17,,
110492E,-31.98,-72.21,19,6,0,28,93,268,17,83,73,177,62,89,177,62,88,-15.72217464,-3.278
110597B,-44.54,-78.73,15,5.5,80,75,-173,303,15,35,6,349,84,-15,348,83,-15,,
110601A,-30.53,-71.68,66,5.1,352,37,88,263,8,92,82,174,53,91,175,53,92,-26.96136093,-39.039
110685B,-41,-74.3,16,5.3,221,49,-52,200,62,105,2,351,53,-125,351,54,-125,-18.84601402,2.846
110698A,-44.52,-79.34,15,5.9,256,69,171,121,9,214,21,349,82,22,349,82,21,,
110781A,-32.41,-71.39,66,,208,5,-47,251,49,78,41,345,86,-94,345,86,-93,-42.24565506,-23.754
110884B,-30.89,-71.87,42,5.5,359,40,87,271,5,112,85,182,50,92,183,50,93,-22.75160599,-19.248
110884E,-31.54,-68.5,144,5.3,178,45,-115,7,72,105,3,32,50,-67,31,50,-67,-95.62055206,-48.379
110997B,-30.06,-72.18,32,5.3,325,29,32,277,26,146,53,206,75,115,206,75,115,-12.64940071,-19.351
111080A,-31.52,-67.55,15,5.6,133,31,49,72,19,302,62,358,67,111,358,67,112,-98.07034302,83.07
111203C,-40.56,-75.52,22,5.5,216,33,-83,283,77,121,12,27,57,-95,28,57,-95,,
111488C,-32.76,-72.21,51,5.1,347,27,96,253,18,63,72,160,63,87,160,63,87,-16.44638824,-34.554
111792B,-30.85,-71.63,55,5.3,0,32,106,258,14,46,74,161,60,80,161,59,80,-29.74105453,-25.259
112099B,-30.79,-72.66,32,5.2,11,40,106,270,6,30,78,171,52,77,170,52,77,,
112195D,-33.33,-72.3,16,5.7,355,20,84,270,25,95,65,181,71,92,181,70,92,-15.63603783,-0.364
112377A,-31.22,-67.69,21,6.7,183,44,90,93,1,273,89,4,46,90,3,46,90,-94.03675079,73.037
112477A,-31.53,-68.05,46,5.6,190,34,91,99,11,276,79,8,56,89,9,56,89,-95.82698822,49.827
112603H,-30.19,-71.84,95,5.1,162,19,-91,254,64,73,26,344,71,-90,343,71,-90,-20.94474411,-74.055
112683D,-45.11,-79.94,15,5.8,257,90,180,302,0,212,0,347,90,0,347,90,0,,
112798D,-32.04,-69.21,129,5.4,191,45,-107,17,78,113,1,35,47,-74,34,47,-74,-103.5970459,-25.403
112877B,-32.02,-68.21,33,5.6,150,52,27,100,11,360,43,43,69,139,43,69,139,-102.701683,69.702
112877C,-31.67,-67.64,15,6.1,182,21,106,80,25,245,65,345,70,84,345,70,84,-99.58558655,84.586
112883A,-44.6,-77.97,10,5.5,133,18,-142,294,54,84,33,7,79,-76,6,79,-76,,
112886A,-45.53,-77.17,15,5.2,260,90,180,305,0,215,0,350,90,0,350,90,0,,
112892B,-31.59,-72.08,22,6.4,51,52,-177,268,28,12,24,319,87,-38,319,88,-38,-17.30896759,-4.691
112984B,-35.42,-71.28,102,5.3,151,19,-154,325,50,112,35,37,82,-73,36,82,-73,-79.15474701,-22.845
112987A,-45.87,-76.57,15,5.4,154,37,-95,268,81,68,8,340,53,-86,340,53,-86,,
120191C,-32.03,-69.55,114,5.4,197,46,-121,31,68,128,3,58,52,-62,58,52,-62,-102.1883621,-11.812
120402F,-30.4,-68,57,4.9,285,28,62,216,19,72,67,135,65,104,136,66,104,-89.70034027,32.7
120493E,-33.57,-72.22,29,5.6,35,16,140,264,34,59,54,163,80,77,164,80,78,-18.67425919,-10.326
120577B,-31.57,-68.22,32,5.7,103,65,-5,62,21,326,14,195,86,-154,195,85,-155,-95.45545197,63.455
120677A,-31.43,-68.11,19,5.9,181,37,82,97,8,307,80,11,54,96,11,53,96,-94.67243958,75.672
120804A,-30.97,-71.75,52,5.6,358,34,91,267,11,84,79,177,56,89,177,56,89,-26.23156357,-25.768
121077B,-31.28,-68.03,35,5.5,199,29,117,89,18,232,68,348,65,76,349,64,76,-93.6231308,58.623
121083B,-44.73,-78.32,15,5.6,258,90,180,303,0,213,0,348,90,0,348,90,0,,
121198B,-31.52,-68.94,128,5.4,32,41,-97,175,84,307,4,221,49,-84,221,49,-84,-97.78341675,-30.217
121202A,-31.86,-67.28,132,5.3,245,33,8,211,33,88,40,148,86,123,148,86,123,-108.1689377,-23.831
121498D,-38.28,-71.25,146,5.9,250,8,-6,248,45,84,44,346,89,-98,346,89,-98,-116.7829056,-29.217
121581A,-36.13,-71.16,105,5,157,10,-61,212,53,42,36,308,81,-95,308,81,-95,-96.38596344,-8.614
121583A,-33.09,-70.56,104,6,202,21,-78,271,65,103,24,9,69,-95,9,69,-95,-77.90470886,-26.095
121897B,-41.99,-72.92,44,5.2,87,27,37,36,26,261,55,323,74,112,323,74,112,-73.43774414,29.438
122000C,-39.36,-75.39,15,6.4,206,43,-72,209,77,103,3,3,50,-106,2,50,-106,,
122178B,-36.4,-72.57,50,5.8,101,34,52,38,16,272,64,324,64,112,324,64,113,-47.62347031,-2.377
122190F,-32.71,-69.7,130,5.4,289,47,-7,256,33,148,25,24,85,-137,24,85,-137,-100.714325,-29.286
122580B,-31,-67.19,138,5.1,173,40,-106,334,78,94,6,14,52,-77,14,52,-77,-96.15157318,-41.848
122602C,-31.46,-68.55,122,5.2,347,37,-81,37,80,251,8,156,54,-97,156,54,-97,-94.85669708,-27.143
122679A,-35.9,-71.5,111,5.6,199,6,-66,262,50,87,39,355,85,-92,355,85,-92,-79.74103546,-31.259
122698A,-40.9,-75.74,15,5.5,187,18,-89,275,63,96,27,6,72,-90,6,72,-90,,
122992C,-31.55,-67.15,144,5.4,139,26,-112,272,67,65,20,343,66,-80,343,66,-80,-103.4229507,-40.577
123087A,-34.74,-71.01,112,5.4,126,21,-171,318,44,99,38,27,87,-69,28,87,-69,-79.79788208,-32.202
200502040915A,-37.84,-73.53,17,4.9,356,42,11,316,26,204,38,258,83,131,258,83,131,-26.59708977,9.597
200503010724A,-31.59,-72.1,33,5.4,354,25,103,254,20,58,69,159,66,84,160,66,84,-17.30896759,-15.691
200503132038A,-32.72,-72.02,36,5.2,9,24,103,269,21,74,68,175,66,84,175,67,84,-21.26488876,-14.735
200503291638A,-33.76,-72.38,20,5.3,6,17,100,268,28,81,62,175,73,87,176,73,87,-15.67191124,-4.328
200503302331A,-35.26,-71.12,104,4.9,203,36,-92,302,81,114,9,26,54,-88,25,54,-89,-84.80241394,-19.198
200504130925A,-33.27,-73.24,12,5.4,21,38,-89,105,83,290,7,200,52,-91,200,52,-91,,
200505191556A,-32,-69.41,104,4.9,288,53,-150,138,45,236,8,179,66,-41,179,66,-41,-102.9088593,-1.091
200508231914A,-32.93,-69.14,19,4.8,95,40,24,49,21,295,47,346,75,127,346,75,127,-114.4833221,95.483
200509111831A,-36.66,-73.68,29,4.9,80,27,104,340,19,139,70,244,64,83,244,64,83,-18.92136955,-10.079
200510101607A,-45.7,-77.12,12,5.1,85,46,-158,291,43,38,17,339,74,-46,339,74,-46,,
200512141052A,-31.22,-72.05,58,5.3,266,24,-18,259,47,122,34,12,83,-113,13,83,-113,-17.76470375,-40.235
200512212219A,-42.85,-74.43,30,5.2,333,23,60,266,24,114,63,185,70,102,185,70,102,-21.24005318,-8.76
200512260056A,-39.01,-73.74,41,5.1,4,32,89,275,13,97,77,185,58,91,185,58,91,-27.42767715,-13.572
200601052251A,-36.43,-73.52,20,5.2,19,16,104,278,29,89,60,184,74,86,184,74,86,-21.72444916,1.724
200602101751A,-32.57,-71.84,42,5.2,11,32,97,276,13,80,76,183,59,86,183,58,86,-25.48250198,-16.517
200604151442A,-31.18,-72.33,28,5.2,1,22,93,269,23,86,67,179,68,89,178,68,89,-11.83735561,-16.163
200604172035A,-34.49,-72.42,20,4.9,1,32,106,259,14,47,74,162,59,80,162,59,80,-22.50424194,2.504
200604281821A,-45.76,-77.47,12,5.3,76,75,-179,300,11,32,10,346,89,-15,346,89,-15,,
200605090902A,-32.85,-70.04,126,5,270,44,-29,248,48,140,16,22,70,-130,22,70,-130,-92.55809784,-33.442
200605181826A,-32.34,-72.14,24,5,11,24,109,267,22,66,67,170,68,82,170,67,82,-17.19724846,-6.803
200605210511A,-37.41,-74.14,15,5.2,27,17,120,273,30,74,59,176,76,82,176,75,81,-14.46435642,-0.536
200605292219A,-45.9,-76.22,22,4.8,84,70,178,308,13,41,15,175,89,20,175,88,20,,
200605300250A,-45.92,-76.17,15,5.7,78,71,-175,301,17,34,10,346,85,-19,346,85,-19,,
200607192211A,-32.63,-72.24,31,5,336,25,74,258,21,98,68,174,66,98,174,66,97,-15.29252529,-15.707
200608051403A,-33.2,-68.86,32,5.6,137,39,44,79,14,324,59,10,64,120,10,64,120,-126.3033295,94.303
200609170934A,-31.9,-67.15,146,6.2,147,17,-147,312,52,103,34,25,81,-76,25,81,-76,-112.1745453,-33.825
200609242108A,-31.89,-67.18,152,5.7,122,34,-131,296,62,61,17,348,65,-66,348,65,-66,-111.2592773,-40.741
200610071632A,-45.79,-77.03,14,5.1,135,33,-74,178,74,33,13,296,58,-100,296,58,-100,,
200610121805A,-31.48,-72.03,37,6.4,3,26,96,269,19,80,71,176,65,87,176,64,87,-18.32956123,-18.67
200610131612A,-31.55,-72.02,39,5.3,360,26,95,266,19,79,71,174,64,88,174,64,88,-19.7125988,-19.287
200610160133A,-30.32,-71.76,43,5.5,8,38,113,262,9,24,73,160,56,73,160,55,73,-24.39434242,-18.606
200611201933A,-40.24,-75.57,12,5.2,190,42,-82,216,84,94,3,359,48,-97,359,49,-97,,
200612311455A,-38.04,-71.4,18,5.5,31,86,178,256,1,346,4,121,88,4,121,88,4,-109.0537338,91.054
200701071055A,-35.52,-71.23,121,5,199,23,-83,276,68,104,22,12,68,-93,11,67,-93,-82.95578766,-38.044
200701232040A,-45.46,-73.07,13,5.3,264,89,-1,219,1,129,0,354,89,-179,354,89,-179,,
200701280253A,-45.39,-73.69,47,5.2,104,76,1,60,9,328,11,14,89,166,14,89,166,,
200702030900A,-45.51,-73.03,12,5.3,91,84,-6,46,8,316,0,182,84,-174,182,84,-174,,
200702100603A,-43.26,-72.26,162,5.5,207,6,117,92,40,267,50,360,84,87,360,85,87,-114.4335938,-47.566
200702231955A,-45.51,-73.08,17,5.7,87,70,-12,45,22,313,6,181,79,-160,181,79,-160,,
200703021307A,-30.93,-71.64,55,5.4,7,35,100,270,10,60,78,176,55,83,175,56,83,-30.00429344,-24.996
200703201759A,-31.92,-67.19,146,5.2,168,19,-125,310,59,106,29,24,75,-79,25,75,-79,-111.2592773,-34.741
200703291440A,-31.63,-72.16,27,5.6,12,19,91,281,26,100,64,191,71,90,191,71,90,-16.26591682,-10.734
200703291709A,-31.59,-72.06,22,5.6,29,22,112,282,24,81,64,185,69,81,185,70,81,-18.51705742,-3.483
200703291746A,-31.69,-72.12,20,5.3,336,15,59,271,32,108,57,188,78,98,188,77,98,-17.48596382,-2.514
200703291832A,-31.72,-72.23,32,5,347,31,85,261,14,91,76,172,59,93,173,59,93,-14.29864788,-17.701
200704020249A,-45.41,-73.04,30,6.2,53,43,-86,87,87,320,2,228,47,-94,228,47,-94,,
200704211753A,-45.48,-72.95,12,6.2,84,86,2,39,1,309,4,354,88,176,354,88,176,,
200704220605A,-31.59,-72.34,28,5.1,348,28,61,279,20,136,66,201,66,105,200,66,104,-12.38608265,-15.614
200706210954A,-31.79,-71.42,54,5.1,359,32,94,266,13,77,77,174,58,88,174,58,88,-42.37168121,-11.628
200706281925A,-32.08,-71.63,80,5.6,198,15,-73,264,59,94,31,0,75,-95,0,76,-94,-32.0019455,-47.998
200707111512A,-32.67,-70.3,116,5.1,150,50,-177,6,29,111,25,58,88,-40,58,88,-40,-85.77005005,-30.23
200708081414A,-32.66,-71.92,24,5.3,335,17,78,255,28,83,61,167,74,93,168,73,94,-24.05168343,0.052
200709220801A,-46.01,-76.8,12,5.5,75,80,178,300,6,31,8,165,88,10,165,88,10,,
200710161337A,-45.98,-76.84,14,5.2,71,63,-173,291,23,27,14,338,83,-27,338,84,-27,,
200710201956A,-36.5,-73.51,41,5.2,13,23,104,272,23,77,67,177,67,84,178,68,84,-22.04452324,-18.955
200710270116A,-31.85,-69.21,114,5,299,51,-26,270,43,169,12,46,70,-138,46,70,-138,-102.1044769,-11.896
200712151822A,-32.81,-72.02,33,5.9,359,21,89,270,24,91,66,179,69,90,180,69,90,-21.37835503,-11.622
200712200306A,-32.85,-72.01,25,5.5,351,12,80,269,33,94,57,181,78,92,181,78,92,-21.44278717,-3.557
200802292251A,-40.56,-75.49,19,5,212,46,-107,43,78,134,0,56,47,-73,56,47,-73,,
200803290134A,-43.2,-74.58,42,5.1,5,32,90,275,13,95,77,184,58,90,185,58,90,-18.36776924,-23.632
200804110129A,-45.88,-76.36,17,5.1,80,67,-165,300,26,33,6,343,76,-24,344,76,-24,,
200805020551A,-42.93,-72.65,17,5.3,206,77,-177,70,11,161,7,115,87,-13,115,87,-13,-92.23553467,75.236
200805030236A,-42.82,-72.56,12,5.1,280,52,-31,251,46,152,9,31,66,-137,30,66,-138,-95.88076019,83.881
200805201516A,-44.57,-78.9,12,5.6,76,64,-170,296,25,31,12,342,81,-27,342,81,-26,,
200805240243A,-42.17,-72.46,12,5.5,84,57,-11,47,30,308,16,180,81,-146,180,81,-147,-95.4666748,83.467
200810011703A,-35.03,-71.04,119,5.2,288,4,-10,294,46,122,44,28,89,-94,28,89,-94,-83.2765274,-35.723
200811232119A,-36.38,-73.36,38,5.3,11,22,111,265,24,65,65,169,69,82,169,70,82,-24.69321251,-13.307
200812182119A,-32.63,-72.13,22,6.1,360,19,94,267,26,84,64,175,71,89,176,71,89,-17.46515083,-4.535
200812182150A,-32.62,-72.11,21,5.8,350,18,83,266,27,91,63,177,72,92,177,72,92,-18.60052299,-2.399
200812190730A,-32.66,-72.24,22,5.4,359,20,90,269,25,89,65,179,70,90,179,70,90,-15.29252529,-6.707
200812190936A,-32.56,-72.1,23,5.7,2,19,100,264,26,76,64,172,72,87,171,71,87,-18.5544796,-4.446
200812191357A,-32.68,-71.97,24,5.2,11,19,118,259,28,58,61,162,74,81,162,73,81,-22.64925385,-1.351
200812191648A,-32.6,-72.25,29,5.2,351,23,82,267,22,96,68,180,67,93,180,67,93,-15.24928093,-13.751
200812201707A,-31.72,-68.14,123,5.2,66,46,-52,50,63,310,5,198,56,-122,198,55,-123,-97.4480896,-25.552
200901231256A,-36.64,-71.22,122,5.2,253,56,-16,218,34,119,14,352,77,-145,352,77,-145,-101.0016632,-20.998
200903111306A,-31.98,-69.29,37,5.3,190,44,109,87,3,187,77,344,49,72,344,49,73,-103.1508255,66.151
200903121103A,-45.27,-78.35,17,5,157,43,-117,341,71,86,5,12,53,-67,12,53,-67,,
200904260803A,-32.89,-69.49,141,5.3,145,49,169,7,21,112,34,242,82,42,242,82,42,-106.1436081,-34.856
200905081344A,-32.02,-69.68,110,5.4,185,48,-121,23,67,116,1,47,50,-60,47,50,-60,-100.7332687,-9.267
200906132122A,-30.8,-71.99,34,5,352,29,88,263,16,87,74,175,61,91,174,61,91,-18.26342201,-15.737
200906170705A,-45.83,-77.61,25,5.2,346,68,-11,305,23,211,8,80,80,-158,80,80,-158,,
200906290307A,-45.64,-77.15,17,5.3,79,67,-171,300,22,34,10,346,81,-23,345,82,-23,,
200907121443A,-30.71,-71.58,66,5.2,360,32,99,263,13,63,76,169,58,84,169,58,84,-31.31182098,-34.688
200909120356A,-45.83,-76.99,18,5,176,26,-92,270,71,87,19,359,64,-89,358,64,-89,,
200909251547A,-32.26,-71.9,42,5.1,277,58,15,231,13,133,32,180,78,147,179,77,147,-23.66570282,-18.334
200910280620A,-32.84,-72.05,19,5,164,43,86,77,2,310,87,349,47,94,349,47,94,-20.1255703,1.126
200910300253A,-32.96,-71.99,13,4.9,358,46,110,254,1,347,76,151,47,71,150,47,70,-21.59321022,8.593
200911222207A,-39.77,-75.46,12,5.8,199,43,-69,199,75,94,4,351,51,-109,351,50,-108,,
200912291147A,-36.78,-73.39,43,5.1,1,21,95,267,24,82,66,175,69,88,176,69,88,-25.86682892,-17.133
201001181228A,-31.48,-68.97,116,5.4,231,37,-97,354,81,146,8,60,54,-85,60,53,-85,-97.78341675,-18.217
201002121203A,-33.63,-69.02,174,5.8,69,57,-156,283,39,20,8,325,70,-35,325,70,-35,-133.038559,-40.961
201002270634A,-35.98,-73.15,23,6.3,19,18,116,268,28,70,60,172,74,82,172,74,82,-25.59966469,2.6
201002270801A,-38.09,-75.41,20,6.6,3,46,-102,194,81,101,0,200,46,-78,200,45,-78,,
201002271900A,-33.62,-72.29,24,6.2,3,27,97,268,18,77,72,175,64,86,175,63,86,-16.77336502,-7.227
201002272302A,-37.94,-73.33,53,5.9,349,27,90,259,18,79,72,169,63,90,169,63,90,-31.84123802,-21.159
201002280108A,-34.25,-72.46,31,5.9,13,24,95,279,21,93,69,187,66,88,188,66,88,-18.68860245,-12.311
201002281125A,-35.11,-72.05,53,6.2,17,25,113,270,21,63,66,171,67,80,172,67,80,-42.62648392,-10.374
201002281948A,-38.36,-74.15,15,5.8,1,16,91,270,29,90,61,180,74,90,180,74,90,-16.77267456,1.773
201003010110A,-35.4,-72.33,58,5.2,34,33,130,276,17,43,63,169,65,67,169,65,67,-37.97809601,-20.022
201003010244A,-35.22,-72.75,19,5.6,302,29,32,254,26,123,53,183,75,115,183,75,115,-23.53540421,4.535
201003010530A,-34.72,-73.88,17,4.9,234,44,-67,229,74,128,3,24,50,-111,23,50,-111,,
201003010749A,-34.73,-73.53,12,5.3,208,35,-65,230,71,100,12,358,58,-107,358,59,-106,-7.88117075,-4.119
201003010846A,-35.51,-73.46,15,5.3,26,17,98,290,28,104,62,197,73,87,198,73,88,-14.26230145,-0.738
201003010858A,-37.91,-74.96,19,5,204,41,-79,228,82,106,4,9,50,-100,10,50,-99,,
201003011220A,-34.57,-74.01,12,5.1,41,40,-91,139,85,312,5,222,50,-89,222,50,-89,,
201003011436A,-34.53,-73.96,12,5.2,46,39,-89,129,84,315,6,224,51,-91,225,51,-91,,
201003011552A,-36.83,-73.91,27,5.1,13,27,104,273,19,72,70,177,64,83,177,64,83,-16.42388535,-10.576
201003011656A,-36.4,-72.7,68,5,43,35,125,288,14,53,66,182,62,68,182,62,68,-42.61408997,-25.386
201003012240A,-34.9,-74.27,18,5,32,37,-88,112,82,301,8,209,53,-92,209,53,-92,,
201003020209A,-39.86,-71.47,16,5.1,176,65,-168,36,26,131,10,80,79,-25,81,79,-25,-127.1734619,111.173
201003020409A,-35.88,-73.73,15,5.4,359,13,78,279,32,105,58,191,78,93,191,77,93,-13.23194218,-1.768
201003020428A,-36.85,-73.81,15,5.5,17,11,110,270,35,82,55,178,79,86,177,80,86,-18.09632301,3.096
201003020610A,-34.63,-72.87,15,5.3,3,5,84,279,40,100,50,189,85,91,189,85,91,-15.07562542,0.076
201003021130A,-35.45,-72.99,12,5,198,67,-163,58,28,151,5,101,74,-24,101,74,-24,-21.66555214,9.666
201003021216A,-36.76,-73.83,18,5.2,5,16,95,271,29,88,61,181,74,89,180,74,89,-16.78521729,-1.215
201003021407A,-39.72,-74.43,35,5.1,16,28,112,270,18,59,69,172,64,79,171,64,79,-14.16956615,-20.83
201003021912A,-34.39,-72.55,19,5.6,14,17,119,261,30,62,59,163,75,81,164,75,82,-18.10128784,-0.899
201003022144A,-36.61,-73.85,37,5,44,26,115,295,21,86,66,196,67,79,197,67,78,-16.03624535,-20.964
201003030435A,-37.61,-74.29,15,5.3,350,12,66,280,34,111,56,194,79,95,194,79,95,-12.81021214,-2.19
201003030442A,-37.4,-74.27,21,5.1,13,26,105,272,20,72,69,176,65,83,176,65,83,-13.06307316,-7.937
201003030616A,-33.81,-72.44,23,5.2,10,22,99,273,23,84,67,180,68,86,180,68,86,-15.05350113,-7.946
201003031744A,-36.7,-73.69,16,6.1,15,12,103,274,33,88,57,182,78,87,182,78,87,-19.17886925,3.179
201003031958A,-33.59,-72.36,19,5.8,2,17,94,269,28,86,62,178,73,89,178,73,89,-15.76656914,-3.233
201003040159A,-33.45,-72.55,13,6,10,19,97,274,26,89,64,183,71,88,183,71,88,-11.6786356,-1.321
201003040903A,-37.72,-74.96,17,5,217,45,-56,205,66,104,5,353,54,-119,353,54,-119,,
201003041737A,-34.24,-72.41,24,5.4,14,22,106,272,24,76,66,177,69,84,177,69,84,-19.77235603,-4.228
201003050334A,-34.67,-71.94,12,5.4,1,38,-77,35,79,262,8,165,53,-100,165,53,-100,-38.15486145,26.155
201003050355A,-34.63,-71.95,26,5.2,319,75,177,183,8,275,13,50,87,15,50,87,15,-38.15486145,12.155
201003050736A,-35.35,-73.41,36,5.1,266,50,-3,230,29,125,25,358,88,-140,358,88,-140,-13.56554317,-22.434
201003050919A,-36.76,-73.59,15,6.1,11,8,116,258,38,71,52,164,83,87,165,83,86,-21.35479546,6.355
201003051031A,-37.58,-73.77,26,5.2,358,28,97,263,17,71,73,171,62,86,170,62,86,-21.63632202,-4.364
201003051147A,-36.89,-73.75,15,,9,16,98,273,29,87,61,180,74,88,181,74,88,-19.19849586,4.198
201003061519A,-37.59,-74.31,14,5.2,28,19,112,281,27,84,62,185,72,83,185,72,83,-12.81021214,-1.19
201003070446A,-33.14,-72.18,29,5.1,7,26,92,276,19,93,71,185,64,89,185,64,89,-17.11759758,-11.882
201003071559A,-38.22,-73.78,25,5.9,348,12,84,263,33,86,57,174,78,91,174,78,91,-22.78227425,-2.218
